"fecha","tasa_cetes","inflacion","pib","ln_tc","td","ln_ipc"
"12/2000",0.1705,0.0896,0.03573,2.26278,NULL,8.63980
"01/2001",0.1789,0.0811,NULL,2.27035,NULL,8.77908
"02/2001",0.1734,0.0709,NULL,2.27238,NULL,8.70485
"03/2001",0.1580,0.0717,0.00559,2.25059,NULL,8.65310
"04/2001",0.1496,0.0711,NULL,2.22502,NULL,8.69739
"05/2001",0.1195,0.0695,NULL,2.21741,NULL,8.79413
"06/2001",0.0943,0.0657,-0.00200,2.20506,NULL,8.80480
"07/2001",0.0939,0.0588,NULL,2.21275,NULL,8.77561
"08/2001",0.0751,0.0593,NULL,2.21920,NULL,8.75000
"09/2001",0.0932,0.0614,-0.01160,2.25232,NULL,8.59481
"10/2001",0.0836,0.0589,NULL,2.22508,NULL,8.61922
"11/2001",0.0743,0.0539,NULL,2.22658,NULL,8.67126
"12/2001",0.0629,0.0440,-0.00780,2.21588,NULL,8.75971
"01/2002",0.0697,0.0479,NULL,2.21335,NULL,8.84331
"02/2002",0.0791,0.0479,NULL,2.21160,NULL,8.81499
"03/2002",0.0723,0.0466,-0.02970,2.19900,NULL,8.90407
"04/2002",0.0576,0.0470,NULL,2.23773,NULL,8.92009
"05/2002",0.0661,0.0468,NULL,2.26760,NULL,8.85818
"06/2002",0.0730,0.0494,0.01117,2.29826,NULL,8.77353
"07/2002",0.0738,0.0551,NULL,2.28096,NULL,8.70315
"08/2002",0.0668,0.0529,NULL,2.29364,NULL,8.73495
"09/2002",0.0734,0.0495,0.00253,2.32531,NULL,8.65320
"10/2002",0.0766,0.0494,NULL,2.31799,NULL,8.69412
"11/2002",0.0730,0.0539,NULL,2.31713,NULL,8.72532
"12/2002",0.0688,0.0570,0.01416,2.34558,NULL,8.72048
"01/2003",0.0827,0.0516,NULL,2.38940,NULL,8.69188
"02/2003",0.0904,0.0552,NULL,2.40084,NULL,8.68728
"03/2003",0.0917,0.0564,0.03123,2.37852,NULL,8.68508
"04/2003",0.0786,0.0525,NULL,2.33214,NULL,8.78108
"05/2003",0.0525,0.0470,NULL,2.33580,NULL,8.80974
"06/2003",0.0520,0.0427,0.00538,2.34536,NULL,8.86149
"07/2003",0.0457,0.0413,NULL,2.35369,NULL,8.90315
"08/2003",0.0445,0.0404,NULL,2.40220,NULL,8.93477
"09/2003",0.0473,0.0404,0.00504,2.39910,NULL,8.96476
"10/2003",0.0511,0.0396,NULL,2.40266,NULL,8.99527
"11/2003",0.0499,0.0398,NULL,2.43348,NULL,9.05421
"12/2003",0.0606,0.0398,0.01694,2.41923,NULL,9.08197
"01/2004",0.0495,0.0420,NULL,2.39984,NULL,9.15152
"02/2004",0.0557,0.0453,NULL,2.40339,NULL,9.20952
"03/2004",0.0628,0.0423,0.03509,2.41366,NULL,9.26080
"04/2004",0.0598,0.0421,NULL,2.43443,NULL,9.20514
"05/2004",0.0659,0.0429,NULL,2.43490,NULL,9.21396
"06/2004",0.0657,0.0437,0.04168,2.44459,NULL,9.23813
"07/2004",0.0681,0.0449,NULL,2.43431,NULL,9.22191
"08/2004",0.0721,0.0482,NULL,2.43192,NULL,9.23643
"09/2004",0.0736,0.0506,0.03731,2.43260,NULL,9.30177
